station,pollutant,date,corrected_measure,corrected_measure_validity,non-volatil_measure,non-volatil_measure_validity
FR01001,PM10,2002/01/01,-999,N,31,1
FR01001,PM10,2002/01/02,-999,N,40,1
FR01001,PM10,2002/01/03,-999,N,31,1
FR01001,PM10,2002/01/04,-999,N,35,1
FR01001,PM10,2002/01/05,-999,N,56,1
FR01001,PM10,2002/01/06,-999,N,112,1
FR01001,PM10,2002/01/07,-999,N,73,1
FR01001,PM10,2002/01/08,-999,N,36,1
FR01001,PM10,2002/01/09,-999,N,73,1
FR01001,PM10,2002/01/10,-999,N,75,1
FR01001,PM10,2002/01/11,-999,N,99,1
FR01001,PM10,2002/01/12,-999,N,57,1
FR01001,PM10,2002/01/13,-999,N,57,1
FR01001,PM10,2002/01/14,-999,N,46,1
FR01001,PM10,2002/01/15,-999,N,47,1
FR01001,PM10,2002/01/16,-999,N,58,1
FR01001,PM10,2002/01/17,-999,N,30,1
FR01001,PM10,2002/01/18,-999,N,32,1
FR01001,PM10,2002/01/19,-999,N,23,1
FR01001,PM10,2002/01/20,-999,N,20,1
FR01001,PM10,2002/01/21,-999,N,12,1
FR01001,PM10,2002/01/22,-999,N,18,1
FR01001,PM10,2002/01/23,-999,N,17,1
FR01001,PM10,2002/01/24,-999,N,12,1
FR01001,PM10,2002/01/25,-999,N,22,1
FR01001,PM10,2002/01/26,-999,N,13,1
FR01001,PM10,2002/01/27,-999,N,8,1
FR01001,PM10,2002/01/28,-999,N,9,1
FR01001,PM10,2002/01/29,-999,N,20,1
FR01001,PM10,2002/01/30,-999,N,27,1
FR01001,PM10,2002/01/31,-999,N,31,1
FR01001,PM10,2002/02/01,-999,N,22,1
FR01001,PM10,2002/02/02,-999,N,20,1
FR01001,PM10,2002/02/03,-999,N,19,1
FR01001,PM10,2002/02/04,-999,N,15,1
FR01001,PM10,2002/02/05,-999,N,13,1
FR01001,PM10,2002/02/06,-999,N,15,1
FR01001,PM10,2002/02/07,-999,N,25,1
FR01001,PM10,2002/02/08,-999,N,11,1
FR01001,PM10,2002/02/09,-999,N,9,1
FR01001,PM10,2002/02/10,-999,N,11,1
FR01001,PM10,2002/02/11,-999,N,11,1
FR01001,PM10,2002/02/12,-999,N,12,1
FR01001,PM10,2002/02/13,-999,N,20,1
FR01001,PM10,2002/02/14,-999,N,11,1
FR01001,PM10,2002/02/15,-999,N,18,1
