station,pollutant,date,corrected_measure,corrected_measure_validity,non-volatil_measure,non-volatil_measure_validity
FR01001,PM10,2007/04/27,40,1,35,1
FR01001,PM10,2007/04/28,29,1,26,1
FR01001,PM10,2007/04/29,24,1,23,1
FR01001,PM10,2007/04/30,17,1,15,1
FR01001,PM10,2007/05/01,20,1,18,1
FR01001,PM10,2007/05/02,28,1,25,1
FR01001,PM10,2007/05/03,25,1,23,1
FR01001,PM10,2007/05/04,38,1,36,1
FR01001,PM10,2007/05/05,26,1,23,1
FR01001,PM10,2007/05/06,23,1,21,1
FR01001,PM10,2007/05/07,11,1,11,1
FR01001,PM10,2007/05/08,10,1,9,1
FR01001,PM10,2007/05/09,10,1,9,1
FR01001,PM10,2007/05/10,15,1,13,1
FR01001,PM10,2007/05/11,14,1,13,1
FR01001,PM10,2007/05/12,11,1,9,1
FR01001,PM10,2007/05/13,15,1,14,1
FR01001,PM10,2007/05/14,12,1,10,1
FR01001,PM10,2007/05/15,10,1,8,1
FR01001,PM10,2007/05/16,7,1,5,1
FR01001,PM10,2007/05/17,5,1,5,1
FR01001,PM10,2007/05/18,11,1,11,1
FR01001,PM10,2007/05/19,7,1,7,1
FR01001,PM10,2007/05/20,12,1,12,1
FR01001,PM10,2007/05/21,14,1,14,1
FR01001,PM10,2007/05/22,19,1,19,1
FR01001,PM10,2007/05/23,31,1,28,1
FR01001,PM10,2007/05/24,27,1,24,1
FR01001,PM10,2007/05/25,22,1,19,1
FR01001,PM10,2007/05/26,18,1,16,1
FR01001,PM10,2007/05/27,11,1,11,1
FR01001,PM10,2007/05/28,7,1,6,1
FR01001,PM10,2007/05/29,10,1,9,1
FR01001,PM10,2007/05/30,10,1,8,1
FR01001,PM10,2007/05/31,9,1,7,1
FR01001,PM10,2007/06/01,9,1,7,1
FR01001,PM10,2007/06/02,20,1,18,1
FR01001,PM10,2007/06/03,17,1,15,1
FR01001,PM10,2007/06/04,24,1,22,1
FR01001,PM10,2007/06/05,26,1,23,1
FR01001,PM10,2007/06/06,24,1,22,1
FR01001,PM10,2007/06/07,26,1,25,1
FR01001,PM10,2007/06/08,36,1,34,1
FR01001,PM10,2007/06/09,22,1,20,1
FR01001,PM10,2007/06/10,20,1,17,1
FR01001,PM10,2007/06/11,16,1,15,1
FR01001,PM10,2007/06/12,21,1,19,1
FR01001,PM10,2007/06/13,22,1,20,1
FR01001,PM10,2007/06/14,15,1,14,1
FR01001,PM10,2007/06/15,9,1,8,1
FR01001,PM10,2007/06/16,11,1,10,1
FR01001,PM10,2007/06/17,11,1,10,1
FR01001,PM10,2007/06/18,11,1,11,1
FR01001,PM10,2007/06/19,17,1,17,1
FR01001,PM10,2007/06/20,18,1,15,1
FR01001,PM10,2007/06/21,18,1,15,1
FR01001,PM10,2007/06/22,11,1,9,1
FR01001,PM10,2007/06/23,8,1,7,1
FR01001,PM10,2007/06/24,8,1,8,1
FR01001,PM10,2007/06/25,7,1,7,1
FR01001,PM10,2007/06/26,5,1,5,1
FR01001,PM10,2007/06/27,10,1,8,1
FR01001,PM10,2007/06/28,11,1,9,1
FR01001,PM10,2007/06/29,8,1,8,1
FR01001,PM10,2007/06/30,7,1,6,1
FR01001,PM10,2007/07/01,8,1,7,1
FR01001,PM10,2007/07/02,10,1,9,1
FR01001,PM10,2007/07/03,7,1,7,1
FR01001,PM10,2007/07/04,8,1,7,1
FR01001,PM10,2007/07/05,11,1,11,1
FR01001,PM10,2007/07/06,13,1,11,1
FR01001,PM10,2007/07/07,15,1,15,1
FR01001,PM10,2007/07/08,15,1,14,1
FR01001,PM10,2007/07/09,9,1,8,1
FR01001,PM10,2007/07/10,10,1,9,1
FR01001,PM10,2007/07/11,10,1,8,1
FR01001,PM10,2007/07/12,11,1,11,1
FR01001,PM10,2007/07/13,13,1,10,1
FR01001,PM10,2007/07/14,20,1,18,1
FR01001,PM10,2007/07/15,20,1,17,1
FR01001,PM10,2007/07/16,23,1,19,1
FR01001,PM10,2007/07/17,12,1,11,1
FR01001,PM10,2007/07/18,20,1,17,1
FR01001,PM10,2007/07/19,20,1,19,1
FR01001,PM10,2007/07/20,16,1,13,1
FR01001,PM10,2007/07/21,11,1,8,1
FR01001,PM10,2007/07/22,7,1,7,1
FR01001,PM10,2007/07/23,11,1,9,1
FR01001,PM10,2007/07/24,10,1,9,1
FR01001,PM10,2007/07/25,12,1,10,1
FR01001,PM10,2007/07/26,12,1,10,1
FR01001,PM10,2007/07/27,13,1,12,1
FR01001,PM10,2007/07/28,10,1,9,1
FR01001,PM10,2007/07/29,9,1,6,1
FR01001,PM10,2007/07/30,10,1,8,1
FR01001,PM10,2007/07/31,-999,-1,-999,-1
FR01001,PM10,2007/08/01,16,1,13,1
FR01001,PM10,2007/08/02,18,1,17,1
FR01001,PM10,2007/08/03,18,1,17,1
FR01001,PM10,2007/08/04,19,1,17,1
FR01001,PM10,2007/08/05,23,1,19,1
FR01001,PM10,2007/08/06,24,1,22,1
FR01001,PM10,2007/08/07,12,1,9,1
FR01001,PM10,2007/08/08,17,1,15,1
FR01001,PM10,2007/08/09,12,1,9,1
FR01001,PM10,2007/08/10,11,1,9,1
FR01001,PM10,2007/08/11,20,1,16,1
FR01001,PM10,2007/08/12,18,1,15,1
FR01001,PM10,2007/08/13,11,1,8,1
FR01001,PM10,2007/08/14,11,1,8,1
FR01001,PM10,2007/08/15,7,1,4,1
FR01001,PM10,2007/08/16,9,1,6,1
FR01001,PM10,2007/08/17,8,1,6,1
FR01001,PM10,2007/08/18,10,1,7,1
FR01001,PM10,2007/08/19,7,1,6,1
FR01001,PM10,2007/08/20,5,1,3,1
FR01001,PM10,2007/08/21,10,1,7,1
FR01001,PM10,2007/08/22,7,1,5,1
FR01001,PM10,2007/08/23,6,1,5,1
FR01001,PM10,2007/08/24,15,1,12,1
FR01001,PM10,2007/08/25,35,1,31,1
FR01001,PM10,2007/08/26,11,1,8,1
FR01001,PM10,2007/08/27,11,1,7,1
FR01001,PM10,2007/08/28,8,1,5,1
FR01001,PM10,2007/08/29,7,1,5,1
FR01001,PM10,2007/08/30,9,1,7,1
FR01001,PM10,2007/08/31,7,1,6,1
FR01001,PM10,2007/09/01,6,1,4,1
FR01001,PM10,2007/09/02,6,1,5,1
FR01001,PM10,2007/09/03,6,1,3,1
FR01001,PM10,2007/09/04,6,1,4,1
FR01001,PM10,2007/09/05,9,1,6,1
FR01001,PM10,2007/09/06,7,1,5,1
FR01001,PM10,2007/09/07,6,1,4,1
FR01001,PM10,2007/09/08,5,1,3,1
FR01001,PM10,2007/09/09,7,1,4,1
FR01001,PM10,2007/09/10,4,1,3,1
FR01001,PM10,2007/09/11,7,1,5,1
FR01001,PM10,2007/09/12,5,1,3,1
FR01001,PM10,2007/09/13,-999,-1,-999,-1
FR01001,PM10,2007/09/14,-999,-1,-999,-1
FR01001,PM10,2007/09/15,6,1,4,1
FR01001,PM10,2007/09/16,8,1,5,1
FR01001,PM10,2007/09/17,9,1,8,1
FR01001,PM10,2007/09/18,7,1,4,1
FR01001,PM10,2007/09/19,7,1,4,1
FR01001,PM10,2007/09/20,4,1,3,1
FR01001,PM10,2007/09/21,7,1,4,1
FR01001,PM10,2007/09/22,10,1,7,1
FR01001,PM10,2007/09/23,11,1,8,1
FR01001,PM10,2007/09/24,6,1,4,1
FR01001,PM10,2007/09/25,4,1,2,1
FR01001,PM10,2007/09/26,5,1,2,1
FR01001,PM10,2007/09/27,6,1,3,1
FR01001,PM10,2007/09/28,5,1,3,1
FR01001,PM10,2007/09/29,6,1,5,1
FR01001,PM10,2007/09/30,5,1,4,1
FR01001,PM10,2007/10/01,10,1,7,1
FR01001,PM10,2007/10/02,17,1,8,1
FR01001,PM10,2007/10/03,8,1,6,1
FR01001,PM10,2007/10/04,10,1,5,1
FR01001,PM10,2007/10/05,7,1,5,1
FR01001,PM10,2007/10/06,6,1,3,1
FR01001,PM10,2007/10/07,7,1,4,1
FR01001,PM10,2007/10/08,9,1,7,1
FR01001,PM10,2007/10/09,12,1,8,1
FR01001,PM10,2007/10/10,7,1,5,1
FR01001,PM10,2007/10/11,10,1,6,1
FR01001,PM10,2007/10/12,-999,-1,-999,-1
FR01001,PM10,2007/10/13,-999,-1,-999,-1
FR01001,PM10,2007/10/14,-999,-1,-999,-1
FR01001,PM10,2007/10/15,-999,-1,-999,-1
FR01001,PM10,2007/10/16,21,1,20,1
FR01001,PM10,2007/10/17,18,1,17,1
FR01001,PM10,2007/10/18,21,1,19,1
FR01001,PM10,2007/10/19,24,1,23,1
FR01001,PM10,2007/10/20,12,1,11,1
FR01001,PM10,2007/10/21,17,1,14,1
FR01001,PM10,2007/10/22,15,1,13,1
FR01001,PM10,2007/10/23,19,1,16,1
FR01001,PM10,2007/10/24,16,1,15,1
FR01001,PM10,2007/10/25,16,1,16,1
FR01001,PM10,2007/10/26,29,1,27,1
FR01001,PM10,2007/10/27,23,1,21,1
FR01001,PM10,2007/10/28,23,1,21,1
FR01001,PM10,2007/10/29,18,1,16,1
FR01001,PM10,2007/10/30,18,1,17,1
FR01001,PM10,2007/10/31,29,1,27,1
FR01001,PM10,2007/11/01,24,1,23,1
FR01001,PM10,2007/11/02,21,1,20,1
FR01001,PM10,2007/11/03,15,1,14,1
FR01001,PM10,2007/11/04,16,1,13,1
FR01001,PM10,2007/11/05,17,1,15,1
FR01001,PM10,2007/11/06,21,1,19,1
FR01001,PM10,2007/11/07,16,1,15,1
FR01001,PM10,2007/11/08,12,1,11,1
FR01001,PM10,2007/11/09,13,1,12,1
FR01001,PM10,2007/11/10,10,1,9,1
FR01001,PM10,2007/11/11,9,1,8,1
FR01001,PM10,2007/11/12,17,1,15,1
FR01001,PM10,2007/11/13,11,1,10,1
FR01001,PM10,2007/11/14,11,1,10,1
FR01001,PM10,2007/11/15,20,1,19,1
FR01001,PM10,2007/11/16,27,1,25,1
FR01001,PM10,2007/11/17,30,1,24,1
FR01001,PM10,2007/11/18,20,1,16,1
FR01001,PM10,2007/11/19,20,1,18,1
FR01001,PM10,2007/11/20,22,1,20,1
FR01001,PM10,2007/11/21,18,1,16,1
FR01001,PM10,2007/11/22,12,1,10,1
FR01001,PM10,2007/11/23,20,1,18,1
FR01001,PM10,2007/11/24,19,1,17,1
FR01001,PM10,2007/11/25,11,1,11,1
FR01001,PM10,2007/11/26,14,1,13,1
FR01001,PM10,2007/11/27,15,1,13,1
FR01001,PM10,2007/11/28,44,1,44,1
FR01001,PM10,2007/11/29,16,1,14,1
FR01001,PM10,2007/11/30,10,1,7,1
FR01001,PM10,2007/12/01,8,1,7,1
FR01001,PM10,2007/12/02,6,1,6,1
FR01001,PM10,2007/12/03,8,1,6,1
FR01001,PM10,2007/12/04,12,1,11,1
FR01001,PM10,2007/12/05,5,1,4,1
FR01001,PM10,2007/12/06,15,1,14,1
FR01001,PM10,2007/12/07,5,1,3,1
FR01001,PM10,2007/12/08,10,1,9,1
FR01001,PM10,2007/12/09,3,1,2,1
FR01001,PM10,2007/12/10,10,1,9,1
FR01001,PM10,2007/12/11,13,1,11,1
FR01001,PM10,2007/12/12,16,1,14,1
FR01001,PM10,2007/12/13,13,1,11,1
FR01001,PM10,2007/12/14,16,1,13,1
FR01001,PM10,2007/12/15,11,1,10,1
FR01001,PM10,2007/12/16,15,1,14,1
FR01001,PM10,2007/12/17,22,1,22,1
FR01001,PM10,2007/12/18,28,1,27,1
FR01001,PM10,2007/12/19,43,1,43,1
FR01001,PM10,2007/12/20,38,1,37,1
FR01001,PM10,2007/12/21,54,1,49,1
FR01001,PM10,2007/12/22,81,1,79,1
FR01001,PM10,2007/12/23,96,1,89,1
FR01001,PM10,2007/12/24,107,1,90,1
FR01001,PM10,2007/12/25,50,1,48,1
FR01001,PM10,2007/12/26,38,1,32,1
FR01001,PM10,2007/12/27,10,1,8,1
FR01001,PM10,2007/12/28,8,1,6,1
FR01001,PM10,2007/12/29,8,1,6,1
FR01001,PM10,2007/12/30,13,1,13,1
FR01001,PM10,2007/12/31,15,1,14,1
FR01004,PM10,2007/01/01,-999,-1,10,1
FR01004,PM10,2007/01/02,-999,-1,12,1
FR01004,PM10,2007/01/03,-999,-1,17,1
FR01004,PM10,2007/01/04,-999,-1,10,1
FR01004,PM10,2007/01/05,15,1,15,1
FR01004,PM10,2007/01/06,8,1,8,1
FR01004,PM10,2007/01/07,11,1,11,1
FR01004,PM10,2007/01/08,9,1,9,1
FR01004,PM10,2007/01/09,12,1,10,1
FR01004,PM10,2007/01/10,16,1,12,1
FR01004,PM10,2007/01/11,17,1,13,1
FR01004,PM10,2007/01/12,32,1,32,1
FR01004,PM10,2007/01/13,10,1,8,1
FR01004,PM10,2007/01/14,19,1,14,1
FR01004,PM10,2007/01/15,26,1,17,1
FR01004,PM10,2007/01/16,26,1,19,1
FR01004,PM10,2007/01/17,23,1,16,1
FR01004,PM10,2007/01/18,10,1,7,1
FR01004,PM10,2007/01/19,11,1,10,1
FR01004,PM10,2007/01/20,15,1,11,1
FR01004,PM10,2007/01/21,18,1,15,1
FR01004,PM10,2007/01/22,20,1,15,1
FR01004,PM10,2007/01/23,14,1,12,1
FR01004,PM10,2007/01/24,13,1,13,1
FR01004,PM10,2007/01/25,15,1,11,1
FR01004,PM10,2007/01/26,50,1,36,1
FR01004,PM10,2007/01/27,36,1,26,1
FR01004,PM10,2007/01/28,28,1,18,1
FR01004,PM10,2007/01/29,24,1,18,1
FR01004,PM10,2007/01/30,26,1,15,1
FR01004,PM10,2007/01/31,29,1,20,1
FR01004,PM10,2007/02/01,36,1,26,1
FR01004,PM10,2007/02/02,33,1,21,1
FR01004,PM10,2007/02/03,19,1,14,1
FR01004,PM10,2007/02/04,19,1,10,1
FR01004,PM10,2007/02/05,31,1,18,1
FR01004,PM10,2007/02/06,37,1,20,1
FR01004,PM10,2007/02/07,24,1,12,1
FR01004,PM10,2007/02/08,21,1,13,1
FR01004,PM10,2007/02/09,17,1,14,1
FR01004,PM10,2007/02/10,15,1,12,1
FR01004,PM10,2007/02/11,15,1,12,1
FR01004,PM10,2007/02/12,11,1,10,1
FR01004,PM10,2007/02/13,16,1,15,1
FR01004,PM10,2007/02/14,12,1,11,1
FR01004,PM10,2007/02/15,23,1,18,1
FR01004,PM10,2007/02/16,20,1,13,1
FR01004,PM10,2007/02/17,31,1,16,1
FR01004,PM10,2007/02/18,46,1,29,1
FR01004,PM10,2007/02/19,50,1,26,1
FR01004,PM10,2007/02/20,51,1,31,1
FR01004,PM10,2007/02/21,44,1,27,1
FR01004,PM10,2007/02/22,24,1,15,1
FR01004,PM10,2007/02/23,32,1,20,1
FR01004,PM10,2007/02/24,12,1,10,1
FR01004,PM10,2007/02/25,8,1,8,1
FR01004,PM10,2007/02/26,15,1,14,1
FR01004,PM10,2007/02/27,17,1,14,1
FR01004,PM10,2007/02/28,9,1,8,1
FR01004,PM10,2007/03/01,10,1,9,1
FR01004,PM10,2007/03/02,18,1,17,1
FR01004,PM10,2007/03/03,12,1,12,1
FR01004,PM10,2007/03/04,12,1,10,1
FR01004,PM10,2007/03/05,14,1,14,1
FR01004,PM10,2007/03/06,15,1,15,1
FR01004,PM10,2007/03/07,12,1,11,1
FR01004,PM10,2007/03/08,29,1,27,1
FR01004,PM10,2007/03/09,36,1,28,1
FR01004,PM10,2007/03/10,33,1,26,1
FR01004,PM10,2007/03/11,34,1,21,1
FR01004,PM10,2007/03/12,35,1,22,1
FR01004,PM10,2007/03/13,60,1,38,1
FR01004,PM10,2007/03/14,75,1,34,1
FR01004,PM10,2007/03/15,58,1,28,1
FR01004,PM10,2007/03/16,72,1,33,1
FR01004,PM10,2007/03/17,36,1,21,1
FR01004,PM10,2007/03/18,14,1,9,1
FR01004,PM10,2007/03/19,13,1,11,1
FR01004,PM10,2007/03/20,14,1,12,1
FR01004,PM10,2007/03/21,14,1,12,1
FR01004,PM10,2007/03/22,19,1,14,1
FR01004,PM10,2007/03/23,9,1,8,1
FR01004,PM10,2007/03/24,20,1,12,1
FR01004,PM10,2007/03/25,18,1,15,1
FR01004,PM10,2007/03/26,30,1,29,1
FR01004,PM10,2007/03/27,38,1,34,1
FR01004,PM10,2007/03/28,35,1,26,1
FR01004,PM10,2007/03/29,26,1,14,1
FR01004,PM10,2007/03/30,17,1,10,1
FR01004,PM10,2007/03/31,29,1,19,1
FR01004,PM10,2007/04/01,44,1,32,1
FR01004,PM10,2007/04/02,34,1,31,1
FR01004,PM10,2007/04/03,40,1,30,1
FR01004,PM10,2007/04/04,8,1,6,1
FR01004,PM10,2007/04/05,17,1,15,1
FR01004,PM10,2007/04/06,32,1,18,1
FR01004,PM10,2007/04/07,40,1,23,1
FR01004,PM10,2007/04/08,13,1,9,1
FR01004,PM10,2007/04/09,19,1,18,1
FR01004,PM10,2007/04/10,27,1,22,1
FR01004,PM10,2007/04/11,-999,-1,-999,-1
FR01004,PM10,2007/04/12,23,1,23,1
FR01004,PM10,2007/04/13,26,1,26,1
FR01004,PM10,2007/04/14,23,1,23,1
FR01004,PM10,2007/04/15,14,1,14,1
FR01004,PM10,2007/04/16,65,1,65,1
FR01004,PM10,2007/04/17,29,1,29,1
FR01004,PM10,2007/04/18,22,1,22,1
FR01004,PM10,2007/04/19,24,1,24,1
FR01004,PM10,2007/04/20,19,1,19,1
FR01004,PM10,2007/04/21,22,1,22,1
FR01004,PM10,2007/04/22,23,1,23,1
FR01004,PM10,2007/04/23,31,1,30,1
FR01004,PM10,2007/04/24,50,1,34,1
FR01004,PM10,2007/04/25,35,1,28,1
FR01004,PM10,2007/04/26,25,1,21,1
FR01004,PM10,2007/04/27,38,1,27,1
FR01004,PM10,2007/04/28,52,1,32,1
FR01004,PM10,2007/04/29,46,1,25,1
FR01004,PM10,2007/04/30,23,1,16,1
FR01004,PM10,2007/05/01,21,1,18,1
FR01004,PM10,2007/05/02,22,1,20,1
FR01004,PM10,2007/05/03,18,1,18,1
FR01004,PM10,2007/05/04,24,1,24,1
FR01004,PM10,2007/05/05,23,1,22,1
FR01004,PM10,2007/05/06,30,1,21,1
FR01004,PM10,2007/05/07,19,1,16,1
FR01004,PM10,2007/05/08,11,1,11,1
FR01004,PM10,2007/05/09,13,1,11,1
FR01004,PM10,2007/05/10,20,1,17,1
FR01004,PM10,2007/05/11,18,1,17,1
FR01004,PM10,2007/05/12,15,1,15,1
FR01004,PM10,2007/05/13,16,1,15,1
FR01004,PM10,2007/05/14,9,1,8,1
FR01004,PM10,2007/05/15,11,1,10,1
FR01004,PM10,2007/05/16,9,1,7,1
FR01004,PM10,2007/05/17,9,1,6,1
FR01004,PM10,2007/05/18,14,1,10,1
FR01004,PM10,2007/05/19,14,1,12,1
FR01004,PM10,2007/05/20,12,1,12,1
FR01004,PM10,2007/05/21,20,1,18,1
FR01004,PM10,2007/05/22,26,1,25,1
FR01004,PM10,2007/05/23,28,1,28,1
FR01004,PM10,2007/05/24,21,1,21,1
FR01004,PM10,2007/05/25,27,1,27,1
FR01004,PM10,2007/05/26,16,1,16,1
FR01004,PM10,2007/05/27,11,1,11,1
FR01004,PM10,2007/05/28,9,1,7,1
FR01004,PM10,2007/05/29,15,1,10,1
FR01004,PM10,2007/05/30,14,1,12,1
FR01004,PM10,2007/05/31,13,1,11,1
FR01004,PM10,2007/06/01,9,1,7,1
FR01004,PM10,2007/06/02,24,1,17,1
FR01004,PM10,2007/06/03,13,1,11,1
FR01004,PM10,2007/06/04,19,1,15,1
FR01004,PM10,2007/06/05,16,1,15,1
FR01004,PM10,2007/06/06,21,1,20,1
FR01004,PM10,2007/06/07,24,1,24,1
FR01004,PM10,2007/06/08,27,1,27,1
FR01004,PM10,2007/06/09,28,1,23,1
FR01004,PM10,2007/06/10,22,1,15,1
FR01004,PM10,2007/06/11,17,1,17,1
FR01004,PM10,2007/06/12,30,1,23,1
FR01004,PM10,2007/06/13,26,1,22,1
FR01004,PM10,2007/06/14,18,1,17,1
FR01004,PM10,2007/06/15,16,1,13,1
FR01004,PM10,2007/06/16,15,1,14,1
FR01004,PM10,2007/06/17,16,1,15,1
FR01004,PM10,2007/06/18,14,1,13,1
FR01004,PM10,2007/06/19,16,1,15,1
FR01004,PM10,2007/06/20,19,1,18,1
FR01004,PM10,2007/06/21,18,1,18,1
FR01004,PM10,2007/06/22,18,1,17,1
FR01004,PM10,2007/06/23,12,1,12,1
FR01004,PM10,2007/06/24,15,1,14,1
FR01004,PM10,2007/06/25,15,1,15,1
FR01004,PM10,2007/06/26,10,1,10,1
FR01004,PM10,2007/06/27,14,1,13,1
FR01004,PM10,2007/06/28,13,1,13,1
FR01004,PM10,2007/06/29,13,1,13,1
FR01004,PM10,2007/06/30,11,1,11,1
FR01004,PM10,2007/07/01,16,1,15,1
FR01004,PM10,2007/07/02,14,1,14,1
FR01004,PM10,2007/07/03,11,1,11,1
FR01004,PM10,2007/07/04,13,1,11,1
FR01004,PM10,2007/07/05,15,1,15,1
FR01004,PM10,2007/07/06,15,1,15,1
FR01004,PM10,2007/07/07,22,1,21,1
FR01004,PM10,2007/07/08,18,1,18,1
FR01004,PM10,2007/07/09,13,1,11,1
FR01004,PM10,2007/07/10,11,1,9,1
FR01004,PM10,2007/07/11,17,1,16,1
FR01004,PM10,2007/07/12,21,1,20,1
FR01004,PM10,2007/07/13,16,1,16,1
FR01004,PM10,2007/07/14,23,1,23,1
FR01004,PM10,2007/07/15,20,1,18,1
FR01004,PM10,2007/07/16,29,1,28,1
FR01004,PM10,2007/07/17,18,1,16,1
FR01004,PM10,2007/07/18,21,1,20,1
FR01004,PM10,2007/07/19,18,1,18,1
FR01004,PM10,2007/07/20,15,1,12,1
FR01004,PM10,2007/07/21,13,1,13,1
FR01004,PM10,2007/07/22,9,1,9,1
FR01004,PM10,2007/07/23,13,1,13,1
FR01004,PM10,2007/07/24,13,1,13,1
FR01004,PM10,2007/07/25,20,1,20,1
FR01004,PM10,2007/07/26,16,1,16,1
FR01004,PM10,2007/07/27,16,1,16,1
FR01004,PM10,2007/07/28,12,1,12,1
FR01004,PM10,2007/07/29,10,1,10,1
FR01004,PM10,2007/07/30,12,1,12,1
