station,pollutant,date,corrected_measure,corrected_measure_validity,non-volatil_measure,non-volatil_measure_validity
FR01001,PM10,2007/01/01,-999,-1,7,1
FR01001,PM10,2007/01/02,-999,-1,9,1
FR01001,PM10,2007/01/03,-999,-1,13,1
FR01001,PM10,2007/01/04,-999,-1,6,1
FR01001,PM10,2007/01/05,-999,-1,11,1
FR01001,PM10,2007/01/06,-999,-1,3,1
FR01001,PM10,2007/01/07,-999,-1,5,1
FR01001,PM10,2007/01/08,-999,-1,3,1
FR01001,PM10,2007/01/09,-999,-1,3,1
FR01001,PM10,2007/01/10,-999,-1,7,1
FR01001,PM10,2007/01/11,-999,-1,8,1
FR01001,PM10,2007/01/12,23,1,23,1
FR01001,PM10,2007/01/13,4,1,4,1
FR01001,PM10,2007/01/14,8,1,8,1
FR01001,PM10,2007/01/15,23,1,23,1
FR01001,PM10,2007/01/16,8,1,8,1
FR01001,PM10,2007/01/17,10,1,10,1
FR01001,PM10,2007/01/18,3,1,3,1
FR01001,PM10,2007/01/19,5,1,5,1
FR01001,PM10,2007/01/20,5,1,5,1
FR01001,PM10,2007/01/21,8,1,8,1
FR01001,PM10,2007/01/22,18,1,18,1
FR01001,PM10,2007/01/23,7,1,7,1
FR01001,PM10,2007/01/24,12,1,12,1
FR01001,PM10,2007/01/25,20,1,20,1
FR01001,PM10,2007/01/26,31,1,31,1
FR01001,PM10,2007/01/27,19,1,19,1
FR01001,PM10,2007/01/28,15,1,15,1
FR01001,PM10,2007/01/29,11,1,11,1
FR01001,PM10,2007/01/30,17,1,17,1
FR01001,PM10,2007/01/31,19,1,19,1
FR01001,PM10,2007/02/01,17,1,17,1
FR01001,PM10,2007/02/02,21,1,21,1
FR01001,PM10,2007/02/03,15,1,15,1
FR01001,PM10,2007/02/04,13,1,13,1
FR01001,PM10,2007/02/05,12,1,12,1
FR01001,PM10,2007/02/06,14,1,12,1
FR01001,PM10,2007/02/07,14,1,12,1
FR01001,PM10,2007/02/08,9,1,8,1
FR01001,PM10,2007/02/09,12,1,11,1
FR01001,PM10,2007/02/10,8,1,7,1
FR01001,PM10,2007/02/11,9,1,8,1
FR01001,PM10,2007/02/12,11,1,8,1
FR01001,PM10,2007/02/13,13,1,10,1
FR01001,PM10,2007/02/14,10,1,9,1
FR01001,PM10,2007/02/15,14,1,13,1
FR01001,PM10,2007/02/16,25,1,23,1
FR01001,PM10,2007/02/17,19,1,18,1
FR01001,PM10,2007/02/18,28,1,26,1
FR01001,PM10,2007/02/19,34,1,30,1
FR01001,PM10,2007/02/20,43,1,38,1
FR01001,PM10,2007/02/21,37,1,32,1
FR01001,PM10,2007/02/22,15,1,13,1
FR01001,PM10,2007/02/23,13,1,10,1
FR01001,PM10,2007/02/24,9,1,6,1
FR01001,PM10,2007/02/25,5,1,5,1
FR01001,PM10,2007/02/26,9,1,8,1
FR01001,PM10,2007/02/27,10,1,8,1
FR01001,PM10,2007/02/28,5,1,4,1
FR01001,PM10,2007/03/01,6,1,5,1
FR01001,PM10,2007/03/02,14,1,12,1
FR01001,PM10,2007/03/03,8,1,6,1
FR01001,PM10,2007/03/04,9,1,8,1
FR01001,PM10,2007/03/05,11,1,9,1
FR01001,PM10,2007/03/06,7,1,7,1
FR01001,PM10,2007/03/07,7,1,6,1
FR01001,PM10,2007/03/08,23,1,22,1
FR01001,PM10,2007/03/09,21,1,19,1
FR01001,PM10,2007/03/10,18,1,16,1
FR01001,PM10,2007/03/11,22,1,18,1
FR01001,PM10,2007/03/12,28,1,24,1
FR01001,PM10,2007/03/13,42,1,35,1
FR01001,PM10,2007/03/14,67,1,43,1
FR01001,PM10,2007/03/15,65,1,48,1
FR01001,PM10,2007/03/16,66,1,40,1
FR01001,PM10,2007/03/17,20,1,15,1
FR01001,PM10,2007/03/18,9,1,8,1
FR01001,PM10,2007/03/19,8,1,7,1
FR01001,PM10,2007/03/20,14,1,13,1
FR01001,PM10,2007/03/21,14,1,11,1
FR01001,PM10,2007/03/22,13,1,11,1
FR01001,PM10,2007/03/23,11,1,9,1
FR01001,PM10,2007/03/24,17,1,15,1
FR01001,PM10,2007/03/25,21,1,19,1
FR01001,PM10,2007/03/26,23,1,22,1
FR01001,PM10,2007/03/27,39,1,38,1
FR01001,PM10,2007/03/28,44,1,41,1
FR01001,PM10,2007/03/29,17,1,15,1
FR01001,PM10,2007/03/30,12,1,11,1
FR01001,PM10,2007/03/31,20,1,18,1
FR01001,PM10,2007/04/01,35,1,34,1
FR01001,PM10,2007/04/02,36,1,34,1
FR01001,PM10,2007/04/03,46,1,42,1
FR01001,PM10,2007/04/04,12,1,11,1
FR01001,PM10,2007/04/05,22,1,19,1
FR01001,PM10,2007/04/06,27,1,22,1
FR01001,PM10,2007/04/07,33,1,26,1
FR01001,PM10,2007/04/08,16,1,12,1
FR01001,PM10,2007/04/09,10,1,8,1
FR01001,PM10,2007/04/10,27,1,24,1
FR01001,PM10,2007/04/11,38,1,36,1
FR01001,PM10,2007/04/12,29,1,25,1
FR01001,PM10,2007/04/13,38,1,37,1
FR01001,PM10,2007/04/14,35,1,33,1
FR01001,PM10,2007/04/15,25,1,22,1
FR01001,PM10,2007/04/16,28,1,24,1
FR01001,PM10,2007/04/17,54,1,47,1
FR01001,PM10,2007/04/18,21,1,17,1
FR01001,PM10,2007/04/19,79,1,78,1
FR01001,PM10,2007/04/20,31,1,27,1
FR01001,PM10,2007/04/21,20,1,17,1
FR01001,PM10,2007/04/22,20,1,17,1
FR01001,PM10,2007/04/23,25,1,22,1
FR01001,PM10,2007/04/24,34,1,33,1
FR01001,PM10,2007/04/25,56,1,51,1
FR01001,PM10,2007/04/26,42,1,38,1
