station,pollutant,date,day_mean,validity
FR01001,O3,2003/05/26,46,1
FR01001,O3,2003/05/27,60,1
FR01001,O3,2003/05/28,59,1
FR01001,O3,2003/05/29,60,1
FR01001,O3,2003/05/30,56,1
FR01001,O3,2003/05/31,67,1
FR01001,O3,2003/06/01,76,1
FR01001,O3,2003/06/02,47,1
FR01001,O3,2003/06/03,42,1
FR01001,O3,2003/06/04,51,1
FR01001,O3,2003/06/05,42,1
FR01001,O3,2003/06/06,49,1
FR01001,O3,2003/06/07,50,1
FR01001,O3,2003/06/08,55,1
FR01001,O3,2003/06/09,56,1
FR01001,O3,2003/06/10,54,1
FR01001,O3,2003/06/11,55,1
FR01001,O3,2003/06/12,65,1
FR01001,O3,2003/06/13,86,1
FR01001,O3,2003/06/14,63,1
FR01001,O3,2003/06/15,79,1
FR01001,O3,2003/06/16,88,1
FR01001,O3,2003/06/17,98,1
FR01001,O3,2003/06/18,86,1
FR01001,O3,2003/06/19,50,1
FR01001,O3,2003/06/20,76,1
FR01001,O3,2003/06/21,77,1
FR01001,O3,2003/06/22,84,1
FR01001,O3,2003/06/23,84,1
FR01001,O3,2003/06/24,71,1
FR01001,O3,2003/06/25,79,1
FR01001,O3,2003/06/26,83,1
FR01001,O3,2003/06/27,65,1
FR01001,O3,2003/06/28,68,1
FR01001,O3,2003/06/29,77,1
FR01001,O3,2003/06/30,84,1
FR01001,O3,2003/07/01,67,1
FR01001,O3,2003/07/02,59,1
FR01001,O3,2003/07/03,64,1
FR01001,O3,2003/07/04,62,1
FR01001,O3,2003/07/05,67,1
FR01001,O3,2003/07/06,57,1
FR01001,O3,2003/07/07,69,1
FR01001,O3,2003/07/08,74,1
FR01001,O3,2003/07/09,67,1
FR01001,O3,2003/07/10,61,1
FR01001,O3,2003/07/11,84,1
FR01001,O3,2003/07/12,85,1
FR01001,O3,2003/07/13,99,1
FR01001,O3,2003/07/14,105,1
FR01001,O3,2003/07/15,137,1
FR01001,O3,2003/07/16,112,1
FR01001,O3,2003/07/17,74,1
FR01001,O3,2003/07/18,69,1
FR01001,O3,2003/07/19,-999,-1
FR01001,O3,2003/07/20,-999,-1
FR01001,O3,2003/07/21,-999,-1
FR01001,O3,2003/07/22,50,1
FR01001,O3,2003/07/23,61,1
FR01001,O3,2003/07/24,55,1
FR01001,O3,2003/07/25,54,1
FR01001,O3,2003/07/26,44,1
FR01001,O3,2003/07/27,36,1
FR01001,O3,2003/07/28,43,1
FR01001,O3,2003/07/29,50,1
FR01001,O3,2003/07/30,24,1
FR01001,O3,2003/07/31,43,1
FR01001,O3,2003/08/01,59,1
FR01001,O3,2003/08/02,72,1
FR01001,O3,2003/08/03,89,1
FR01001,O3,2003/08/04,85,1
FR01001,O3,2003/08/05,83,1
FR01001,O3,2003/08/06,77,1
FR01001,O3,2003/08/07,66,1
FR01001,O3,2003/08/08,65,1
FR01001,O3,2003/08/09,80,1
FR01001,O3,2003/08/10,88,1
FR01001,O3,2003/08/11,83,1
FR01001,O3,2003/08/12,85,1
FR01001,O3,2003/08/13,83,1
FR01001,O3,2003/08/14,84,1
FR01001,O3,2003/08/15,63,1
FR01001,O3,2003/08/16,74,1
FR01001,O3,2003/08/17,65,1
FR01001,O3,2003/08/18,52,1
FR01001,O3,2003/08/19,40,1
FR01001,O3,2003/08/20,47,1
FR01001,O3,2003/08/21,57,1
FR01001,O3,2003/08/22,34,1
FR01001,O3,2003/08/23,29,1
FR01001,O3,2003/08/24,49,1
FR01001,O3,2003/08/25,47,1
FR01001,O3,2003/08/26,56,1
FR01001,O3,2003/08/27,47,1
FR01001,O3,2003/08/28,63,1
FR01001,O3,2003/08/29,58,1
FR01001,O3,2003/08/30,47,1
FR01001,O3,2003/08/31,45,1
FR01001,O3,2003/09/01,36,1
FR01001,O3,2003/09/02,34,1
FR01001,O3,2003/09/03,44,1
FR01001,O3,2003/09/04,50,1
FR01001,O3,2003/09/05,50,1
FR01001,O3,2003/09/06,53,1
FR01001,O3,2003/09/07,51,1
FR01001,O3,2003/09/08,45,1
FR01001,O3,2003/09/09,45,1
FR01001,O3,2003/09/10,43,1
FR01001,O3,2003/09/11,45,1
FR01001,O3,2003/09/12,19,1
FR01001,O3,2003/09/13,43,1
FR01001,O3,2003/09/14,51,1
FR01001,O3,2003/09/15,48,1
FR01001,O3,2003/09/16,47,1
FR01001,O3,2003/09/17,53,1
FR01001,O3,2003/09/18,59,1
FR01001,O3,2003/09/19,61,1
FR01001,O3,2003/09/20,75,1
FR01001,O3,2003/09/21,69,1
FR01001,O3,2003/09/22,70,1
FR01001,O3,2003/09/23,49,1
FR01001,O3,2003/09/24,32,1
FR01001,O3,2003/09/25,32,1
FR01001,O3,2003/09/26,45,1
FR01001,O3,2003/09/27,43,1
FR01001,O3,2003/09/28,51,1
FR01001,O3,2003/09/29,44,1
FR01001,O3,2003/09/30,32,1
FR01001,O3,2003/10/01,5,1
FR01001,O3,2003/10/02,29,1
FR01001,O3,2003/10/03,50,1
FR01001,O3,2003/10/04,49,1
FR01001,O3,2003/10/05,43,1
FR01001,O3,2003/10/06,51,1
FR01001,O3,2003/10/07,59,1
FR01001,O3,2003/10/08,41,1
FR01001,O3,2003/10/09,41,1
FR01001,O3,2003/10/10,41,1
FR01001,O3,2003/10/11,24,1
FR01001,O3,2003/10/12,38,1
FR01001,O3,2003/10/13,27,1
FR01001,O3,2003/10/14,37,1
FR01001,O3,2003/10/15,34,1
FR01001,O3,2003/10/16,32,1
FR01001,O3,2003/10/17,32,1
FR01001,O3,2003/10/18,29,1
FR01001,O3,2003/10/19,22,1
FR01001,O3,2003/10/20,24,1
FR01001,O3,2003/10/21,19,1
FR01001,O3,2003/10/22,14,1
FR01001,O3,2003/10/23,32,1
FR01001,O3,2003/10/24,33,1
FR01001,O3,2003/10/25,32,1
FR01001,O3,2003/10/26,37,1
FR01001,O3,2003/10/27,19,1
FR01001,O3,2003/10/28,11,1
FR01001,O3,2003/10/29,25,1
FR01001,O3,2003/10/30,41,1
FR01001,O3,2003/10/31,42,1
FR01001,O3,2003/11/01,48,1
FR01001,O3,2003/11/02,48,1
FR01001,O3,2003/11/03,61,1
FR01001,O3,2003/11/04,29,1
FR01001,O3,2003/11/05,8,1
FR01001,O3,2003/11/06,6,1
FR01001,O3,2003/11/07,24,1
FR01001,O3,2003/11/08,22,1
FR01001,O3,2003/11/09,25,1
FR01001,O3,2003/11/10,5,1
FR01001,O3,2003/11/11,7,1
FR01001,O3,2003/11/12,5,1
FR01001,O3,2003/11/13,19,1
